date,co2,no_co2,spinup
015403,9.64240482004e-06,8.03902511715e-06,7.51122912281e-06
015404,1.06717965981e-05,9.0100352457e-06,8.3305585566e-06
015405,1.40449414837e-05,1.17396046887e-05,1.06434227874e-05
015406,1.81422153371e-05,1.54237831242e-05,1.47155198484e-05
015407,1.92390171407e-05,1.61877513563e-05,1.59380666667e-05
015408,1.85735107791e-05,1.51628532412e-05,1.51389808591e-05
015409,1.69134650795e-05,1.36388413214e-05,1.35687050855e-05
015410,1.52805683273e-05,1.25246236824e-05,1.22219108726e-05
015411,1.2854362958e-05,1.06667346619e-05,1.01661182171e-05
015412,9.95470772265e-06,8.50323225982e-06,7.99449371027e-06
015501,9.20906792335e-06,7.90921363834e-06,7.41160993481e-06
015502,9.22913684228e-06,7.48139065972e-06,6.99528389055e-06
015503,9.52107652376e-06,7.48066761612e-06,7.01077826405e-06
015504,1.08283969647e-05,8.6307012564e-06,8.01115913102e-06
015505,1.42302486368e-05,1.15223269948e-05,1.03893721095e-05
015506,1.8558313029e-05,1.53644515759e-05,1.46452050208e-05
015507,1.98585512346e-05,1.63010248668e-05,1.60167200909e-05
015508,1.9322376198e-05,1.54086906146e-05,1.52541564003e-05
015509,1.75741784962e-05,1.38633599413e-05,1.37117021597e-05
015510,1.59190962586e-05,1.28858889489e-05,1.25097470597e-05
015511,1.32733338144e-05,1.09945039316e-05,1.03537113594e-05
015512,1.03804630084e-05,8.8003319265e-06,8.22743248065e-06
015601,9.73082715294e-06,8.30859216317e-06,7.7462917835e-06
015602,9.72580097007e-06,7.96661590346e-06,7.40839877652e-06
015603,9.99821978609e-06,8.01418035486e-06,7.47793085534e-06
015604,1.12781430629e-05,9.07165679401e-06,8.38024994669e-06
015605,1.51722467265e-05,1.21448117287e-05,1.10837483537e-05
015606,1.8967034133e-05,1.55371699495e-05,1.48863279806e-05
015607,2.02219291526e-05,1.64022801907e-05,1.60672713195e-05
015608,1.9689030754e-05,1.55390742704e-05,1.54280525879e-05
015609,1.78330997325e-05,1.38217104927e-05,1.37815623405e-05
015610,1.60811921897e-05,1.27193757787e-05,1.24684826933e-05
015611,1.34480387513e-05,1.08831777525e-05,1.0335275465e-05
015612,1.03290341717e-05,8.51993024052e-06,8.07410913983e-06
015701,9.65434632296e-06,7.9710906385e-06,7.53314815871e-06
015702,9.68340673288e-06,7.71544155579e-06,7.29003765591e-06
015703,1.02033611113e-05,8.14789028458e-06,7.62474533392e-06
015704,1.13580959446e-05,8.91117709701e-06,8.28685190335e-06
015705,1.49446899181e-05,1.19324557979e-05,1.08135061445e-05
015706,1.90944353344e-05,1.56001952824e-05,1.47634969697e-05
015707,2.04025187157e-05,1.63529585953e-05,1.60586754259e-05
015708,1.97626960499e-05,1.54052927353e-05,1.53035620334e-05
015709,1.78027386872e-05,1.36165586851e-05,1.35566203556e-05
015710,1.5998434966e-05,1.25567324651e-05,1.22276717116e-05
015711,1.32772658674e-05,1.05560320952e-05,1.00631096154e-05
015712,1.03141216219e-05,8.56241187862e-06,8.0424974149e-06
015801,9.82906577148e-06,8.27107647911e-06,7.73558767652e-06
015802,9.67950711444e-06,7.86724993301e-06,7.35273481866e-06
015803,1.00163199521e-05,7.89272368036e-06,7.36867747025e-06
015804,1.09450263873e-05,8.58426590908e-06,8.03880426633e-06
015805,1.4562598091e-05,1.1586297365e-05,1.05236765901e-05
015806,1.92779211416e-05,1.56263796138e-05,1.47960423182e-05
015807,2.06274035183e-05,1.64664191071e-05,1.61095562796e-05
015808,2.00992428924e-05,1.56806192135e-05,1.55287794626e-05
015809,1.82510167106e-05,1.41325832554e-05,1.39972601467e-05
015810,1.63438479542e-05,1.2823475264e-05,1.25716863392e-05
015811,1.36663621085e-05,1.10236009617e-05,1.04686319459e-05
015812,1.05689211725e-05,8.87780646634e-06,8.30172161938e-06
015901,9.82486991626e-06,8.20981677269e-06,7.71635002464e-06
015902,9.6689650783e-06,7.79012121957e-06,7.34730855048e-06
015903,1.01127008171e-05,7.93822965898e-06,7.50220037924e-06
015904,1.1131285709e-05,8.62610828907e-06,8.1187615676e-06
015905,1.43945541413e-05,1.13918244109e-05,1.03833073779e-05
015906,1.92951987095e-05,1.55330790784e-05,1.46436558131e-05
015907,2.08890602446e-05,1.66355013385e-05,1.63048306309e-05
015908,2.03074246489e-05,1.58105249412e-05,1.56852881137e-05
015909,1.8206443723e-05,1.38358398984e-05,1.38726182857e-05
015910,1.62926828653e-05,1.26665102621e-05,1.24658921438e-05
015911,1.36158555786e-05,1.08372563284e-05,1.0357982402e-05
015912,1.04817245153e-05,8.58830119001e-06,8.1421407914e-06
016001,9.7708846084e-06,8.11817321148e-06,7.62018956227e-06
016002,9.84638835469e-06,8.00448449824e-06,7.50797019519e-06
016003,1.02037606341e-05,8.1033095212e-06,7.60207658413e-06
016004,1.15570766927e-05,9.15545949465e-06,8.45440012118e-06
016005,1.52317073769e-05,1.2203870578e-05,1.10986931285e-05
016006,1.94411487741e-05,1.57944438342e-05,1.49726741896e-05
016007,2.06065991347e-05,1.63265293906e-05,1.60454742315e-05
016008,1.99983487816e-05,1.54828322498e-05,1.54000270342e-05
016009,1.80379939483e-05,1.38118814703e-05,1.37583798231e-05
016010,1.60828201485e-05,1.2418629012e-05,1.22282829307e-05
016011,1.34485111043e-05,1.06660846864e-05,1.016178903e-05
016012,1.03345623557e-05,8.42991474907e-06,7.98074104284e-06
016101,9.60842392497e-06,7.90971894676e-06,7.46766604586e-06
016102,9.56043922509e-06,7.73104416795e-06,7.28426150612e-06
016103,9.94052294707e-06,7.77183416347e-06,7.34697480671e-06
016104,1.12676284269e-05,8.90759343124e-06,8.34786631397e-06
016105,1.49456780464e-05,1.17565964165e-05,1.06932794626e-05
016106,1.94368255954e-05,1.55724148773e-05,1.48555600477e-05
016107,2.05047055319e-05,1.60982872233e-05,1.5913070749e-05
016108,1.95497456062e-05,1.48862053212e-05,1.49212436901e-05
016109,1.76450932937e-05,1.32776663105e-05,1.33034936765e-05
016110,1.58397572348e-05,1.22019493088e-05,1.20214815661e-05
016111,1.33630142875e-05,1.0620942654e-05,1.01433558176e-05
016112,1.03207197849e-05,8.50633377064e-06,8.07351454175e-06
016201,9.65788600154e-06,8.03379138722e-06,7.59579758812e-06
016202,9.61109015937e-06,7.85259227177e-06,7.37965818466e-06
016203,1.01460148687e-05,8.08339538453e-06,7.64790720164e-06
016204,1.11461448647e-05,8.6724560321e-06,8.22943772086e-06
016205,1.45878730045e-05,1.1312102572e-05,1.03161046711e-05
016206,1.94341819358e-05,1.55527605517e-05,1.47615915647e-05
016207,2.08631104907e-05,1.66046663326e-05,1.62248289079e-05
016208,2.02357856657e-05,1.58152048317e-05,1.56400150443e-05
016209,1.8218572439e-05,1.41084845626e-05,1.39675708239e-05
016210,1.63028821008e-05,1.27669759622e-05,1.24697279074e-05
016211,1.32979584732e-05,1.04625299521e-05,9.97547818381e-06
016212,1.03311193336e-05,8.33412212472e-06,7.89563622551e-06
016301,9.63711797531e-06,7.93208526686e-06,7.47992869522e-06
016302,9.54902058354e-06,7.64198698514e-06,7.2065688552e-06
016303,1.01282344711e-05,8.002925852e-06,7.58805003342e-06
016304,1.12762153085e-05,8.72263126173e-06,8.15686824177e-06
016305,1.51799716495e-05,1.20516709723e-05,1.09752370472e-05
016306,1.96202132296e-05,1.58518229541e-05,1.50311410165e-05
016307,2.07675479283e-05,1.64301889625e-05,1.61447166637e-05
016308,1.99128922186e-05,1.53655360841e-05,1.53089166578e-05
016309,1.75552403873e-05,1.3030403372e-05,1.31251313557e-05
016310,1.57052423213e-05,1.19184918194e-05,1.17442819698e-05
016311,1.31495528146e-05,1.02244680763e-05,9.78561274626e-06
016312,1.01231354858e-05,8.01031166189e-06,7.66905337321e-06
016401,9.28298346919e-06,7.27233766169e-06,6.91229308003e-06
016402,9.26611805503e-06,7.14463916933e-06,6.79766080944e-06
016403,9.81292906222e-06,7.61680256704e-06,7.22456849742e-06
016404,1.1329883595e-05,8.97078490749e-06,8.48414193071e-06
016405,1.48161909541e-05,1.16424236355e-05,1.06484412194e-05
016406,1.93508744734e-05,1.52869736941e-05,1.46444935773e-05
016407,2.05678660098e-05,1.6123528434e-05,1.59165877143e-05
016408,1.97348654767e-05,1.49664626822e-05,1.50057234724e-05
016409,1.77995226351e-05,1.33535330242e-05,1.33043643066e-05
016410,1.58936066405e-05,1.21408146783e-05,1.19989949978e-05
016411,1.32884301983e-05,1.05306082435e-05,1.00832726003e-05
016412,1.02884616649e-05,8.57150630466e-06,8.08942189331e-06
016501,9.61776979926e-06,8.06836491372e-06,7.63361864091e-06
