date,co2,no_co2,spinup
015102,1.90766742744,1.8926957944,1.8900274269
015103,1.91452004338,1.84973725481,1.83589951953
015104,1.94940417396,1.85053962581,1.83008921785
015105,2.08826721227,1.96233596463,1.89265709356
015106,2.3653523746,2.21055911348,2.14770213345
015107,2.5648868328,2.35404079902,2.33195233527
015108,2.6178700141,2.33147204325,2.34020701016
015109,2.6145466446,2.30180702353,2.30791388051
015110,2.68374821269,2.3351822751,2.33215955444
015111,2.73215678543,2.33664120462,2.32154842832
015112,2.56153375149,2.12882750774,2.09624674502
015201,2.49813352293,2.02592672262,1.9915666737
015202,2.43336389666,1.93455993742,1.9019926666
015203,2.41685928641,1.90966087515,1.8758651621
015204,2.42815724414,1.89527004872,1.85674209865
015205,2.50457115868,1.95567912684,1.91345802502
015206,2.79534565179,2.16761774751,2.11180755522
015207,3.04842173627,2.3405084958,2.27280068847
015208,3.10202486697,2.36283358326,2.31064720512
015209,3.06837240134,2.32536829974,2.2758260478
015210,3.09451530575,2.33647094831,2.2900200385
015211,3.08105663311,2.3279672216,2.26392256507
015212,2.83984211836,2.12666324696,2.04820013661
015301,2.73144950392,2.03320780723,1.95512926748
015302,2.64275527289,1.95384895348,1.87863689448
015303,2.58945190987,1.91480678114,1.83863632605
015304,2.5802133921,1.91373115034,1.82974369234
015305,2.6165413688,1.96168519327,1.88080552919
015306,2.90359165043,2.19756205145,2.11035790556
015307,3.13080035113,2.37734664842,2.27569662784
015308,3.16304889717,2.38373130784,2.30626356098
015309,3.10420556605,2.34608878681,2.27568643432
015310,3.10788150916,2.37089341241,2.29757153529
015311,3.08910138552,2.35932682517,2.27860646889
015312,2.8472142081,2.16777240224,2.06872354415
015401,2.73242263638,2.07783665519,1.97993928963
015402,2.62901977516,1.99996209528,1.90771013748
015403,2.57156025432,1.94971027915,1.86148423073
015404,2.55454531793,1.94576718215,1.85043635652
015405,2.58961237803,2.00376308389,1.91360173095
015406,2.85716241998,2.2300085003,2.1322239317
015407,3.13208312197,2.44146697188,2.3325778417
015408,3.16774136223,2.44546992329,2.36371034344
015409,3.10275004748,2.39882371147,2.32410703008
015410,3.11660945565,2.42724656822,2.34939913158
015411,3.11152730023,2.4113400629,2.3294632699
015412,2.8858967379,2.20792616377,2.1083522031
015501,2.76675733351,2.1080561323,2.00921121671
015502,2.65425640699,2.0111849924,1.91941272155
015503,2.59548935093,1.95802934274,1.86771671512
015504,2.58635132585,1.94180236822,1.85114118833
015505,2.63082673912,2.00489457835,1.91052450733
015506,2.89858572729,2.21411375322,2.11481215235
015507,3.15758582478,2.41393779834,2.30848611636
015508,3.19125870648,2.41987437049,2.33706847879
015509,3.14642031461,2.38144989623,2.3069743952
015510,3.17337754331,2.40719789787,2.3323903065
015511,3.15670505266,2.39736179698,2.3089043601
015512,2.92678414245,2.2006196788,2.09195776184
015601,2.81776805135,2.08983680479,1.99109439513
015602,2.71555015963,2.00655369522,1.90991971077
015603,2.64015416643,1.95119965986,1.85260484907
015604,2.65165883616,1.9559425325,1.8580103353
015605,2.68705919922,2.00019272162,1.90506032396
015606,2.98768969817,2.24748409436,2.14236054575
015607,3.23707586339,2.43506473337,2.32016832521
015608,3.27273183368,2.43449051721,2.34804240909
015609,3.22463966467,2.40843207117,2.32441942217
015610,3.248825911,2.43605313476,2.349139403
015611,3.24160825871,2.41756708956,2.32824011066
015612,3.00204588924,2.21390509686,2.11222993508
015701,2.87725017724,2.10011372419,2.00052706644
015702,2.77527152307,2.00849361757,1.91482807554
015703,2.70868562861,1.97425790663,1.87948726772
015704,2.70823539595,1.97336378212,1.87493768155
015705,2.74988863844,2.00643219378,1.91886025306
015706,3.01911442869,2.22393707305,2.11627409201
015707,3.30667791788,2.4357488067,2.32240823662
015708,3.34928887957,2.4483979983,2.36214398466
015709,3.29964792592,2.41102626436,2.33142205154
015710,3.31453815854,2.42593295055,2.3491950314
015711,3.29421751887,2.406393805,2.32250495237
015712,3.0425317974,2.19338713074,2.0937019985
015801,2.91960051581,2.10129804071,2.00122959119
015802,2.82895798531,2.02612426687,1.93221257081
015803,2.77101435132,1.97854589172,1.88355674324
015804,2.74428962133,1.96519778147,1.8684460706
015805,2.78339166564,2.00812472987,1.91928384711
015806,3.06987625898,2.22816065274,2.1323978856
015807,3.33372896084,2.41881614113,2.31431813918
015808,3.3679847619,2.43149186803,2.34797564649
015809,3.32450930471,2.40107673108,2.32252016932
015810,3.33715297466,2.4125240569,2.33634963366
015811,3.31820774209,2.39558496504,2.31564213562
015812,3.06986935911,2.20390546086,2.1029675552
015901,2.95601919052,2.12004748973,2.01487948277
015902,2.85066665825,2.03088597833,1.93306307795
015903,2.77928186712,1.98224390486,1.88761960253
015904,2.77827559486,1.97997744516,1.88425677339
015905,2.80616621361,2.00838264629,1.91967433233
015906,3.09688567313,2.24170451117,2.14228270609
015907,3.37941698202,2.44591412974,2.33778704869
015908,3.43021965406,2.46531499721,2.38065228759
015909,3.38026058347,2.42347956405,2.3467351525
015910,3.3871518017,2.43482804339,2.36196600939
015911,3.37767727069,2.4287020586,2.339696939
015912,3.11636068258,2.22074962491,2.12092685788
016001,2.99496566325,2.12632417693,2.02597286118
016002,2.88376917717,2.03758330641,1.9444154454
016003,2.8253362334,1.99789240531,1.90757185441
016004,2.81455993261,1.98906095896,1.8941577813
016005,2.87044386074,2.04752043516,1.96096259649
016006,3.16629275451,2.27336950287,2.17765277886
016007,3.41825638113,2.45489832736,2.34745842572
016008,3.45238370616,2.45908686773,2.37278425837
016009,3.39820975538,2.42344910498,2.34636489009
016010,3.41891545172,2.44475918371,2.36623684525
016011,3.40348012432,2.42324134603,2.3354871076
016012,3.14231580408,2.21695778419,2.11267597582
016101,3.01646548821,2.11756198777,2.0169024995
016102,2.90897577783,2.03073880187,1.93798666715
016103,2.84944772661,1.99321776126,1.89647238413
016104,2.82200123356,1.96561744552,1.87250392464
016105,2.86297647084,2.01802909574,1.9303523339
016106,3.16626900629,2.25975089499,2.15695406588
016107,3.43014133053,2.44276638359,2.33570132709
016108,3.45103907654,2.43378974021,2.35142876971
016109,3.38874367504,2.3832676161,2.3132935326
016110,3.39954726361,2.40736257536,2.33427560082
