DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      i1850cn_cruncep_CNDA_Cli_b  (yrs 2000-2009)
 
REFERENCE CASE (case2): i1850cn_cruncep_ctl  (yrs 2000-2009)
 
DIFFERENCE:            (i1850cn_cruncep_CNDA_Cli_b) - (i1850cn_cruncep_ctl)
 
Variable                                                              case1-case2
 
ISOPRENE(kg/m2/s) Isoprene Flux                                       0.00020337
LEAFC(PgC) leaf carbon                                                1.09553242
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                1.60156155
LEAFC_LOSS (PgC/m2y) Leaf C Allocation                             -999.00000000
LITTERC(PgC) Total Litter C                                           1.28069210
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                 1.48623657
LITTERC_LOSS(PgC/m2y) Litter C Loss                                   3.52206802
MONOTERPENE(kg/m2/s) Monoterpene Flux                              -999.00000000
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source     -0.77901936
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink        2.00687909
NET_NMIN(TgN/y) Net N Mineralization                                 93.21496582
NPP(PgC/y) net primary production                                     5.31782150
OTHER_VOC(kg/m2/s) Other VOC Flux                                  -999.00000000
OR_VOC(kg/m2/s) Other Reactive VOC Flux                            -999.00000000
SOILC(PgC) soil organic matter C (fast pool)                          7.47900391
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                     1.82427979
SOILC_LOSS(PgC/y) Soil C Loss                                         1.82427979
VOCFLXT(kg/m2/s) Total VOC flux into Atmosphere                       0.00036238
WOODC(PgC) Wood C                                                   -86.55194092
WOODC_ALLOC(PgC/y) Wood C Allocation                                  0.29353333
WOODC_LOSS(PgC/y) Wood C Loss                                        -0.28602219
