DIAG SET 5: CN ANNUAL MEANS OVER LAND
 
TEST CASE (case1):      i1850cn_cruncep_CNDA_Cli_b  (yrs 2000-2009)
 
REFERENCE CASE (case2): i1850cn_cruncep_ctl  (yrs 2000-2009)
 
Variable                                                                 case1               case2
 
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration       0.00000000               0.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                          14.09921360              15.647
FROOTC(PgC) fine root carbon                                         19.03391457              16.891
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                         19.43080902              16.178
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                19.35661125              16.134
GPP(PgC/y) gross primary production                                 145.17727661             129.596
GROSS_NMIN(TgN/y) Gross N Mineralization                           2256.74707031            2098.029
HR(PgC/y) total hetereotrophic respiration                           47.06531906              43.755
ISOPRENE(kg/m2/s) Isoprene Flux                                       0.00267048               0.002
LEAFC(PgC) leaf carbon                                               15.71113300              14.616
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                               13.70981407              12.108
LEAFC_LOSS (PgC/m2y) Leaf C Allocation                             -999.00000000            -999.000
LITTERC(PgC) Total Litter C                                          14.52158260              13.241
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                21.57270622              20.086
LITTERC_LOSS(PgC/m2y) Litter C Loss                                  47.42223740              43.900
MONOTERPENE(kg/m2/s) Monoterpene Flux                              -999.00000000            -999.000
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source     -0.93190616              -0.153
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink        4.69521332               2.688
NET_NMIN(TgN/y) Net N Mineralization                                751.44158936             658.227
NPP(PgC/y) net primary production                                    51.76106262              46.443
OTHER_VOC(kg/m2/s) Other VOC Flux                                  -999.00000000            -999.000
OR_VOC(kg/m2/s) Other Reactive VOC Flux                            -999.00000000            -999.000
SOILC(PgC) soil organic matter C (fast pool)                        643.97186279             636.493
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                    25.49296379              23.669
SOILC_LOSS(PgC/y) Soil C Loss                                        25.49296379              23.669
VOCFLXT(kg/m2/s) Total VOC flux into Atmosphere                       0.00375328               0.003
WOODC(PgC) Wood C                                                   582.14361572             668.696
WOODC_ALLOC(PgC/y) Wood C Allocation                                 17.49245071              17.199
WOODC_LOSS(PgC/y) Wood C Loss                                        14.57569313              14.862
